copying 0 paths...
copying 0 paths...
Using Linux HCA usb4_rdma4 and macOS HCA rdma_en3
en3: flags=8863<UP,BROADCAST,SMART,RUNNING,SIMPLEX,MULTICAST> mtu 9000
	options=460<TSO4,TSO6,CHANNEL_IO>
	ether 36:26:af:6d:62:08
	inet 10.0.3.3 netmask 0xffffff00 broadcast 10.0.3.255
rank 1 step 12 synchronize OK
rank 1 generation response tokens=14 finish=None
rank 1 step 13 synchronize start
rank 1 step 13 synchronize OK
rank 1 generation response tokens=15 finish=None
rank 1 step 14 synchronize start
rank 1 step 14 synchronize OK
rank 1 generation response tokens=16 finish=None
rank 1 step 15 synchronize start
rank 1 step 15 synchronize OK
rank 1 generation response tokens=17 finish=None
rank 1 step 16 synchronize start
rank 1 step 16 synchronize OK
rank 1 generation response tokens=18 finish=None
rank 1 step 17 synchronize start
rank 1 step 17 synchronize OK
rank 1 generation response tokens=19 finish=None
rank 1 step 18 synchronize start
rank 1 step 18 synchronize OK
rank 1 generation response tokens=20 finish=None
rank 1 step 19 synchronize start
rank 1 step 19 synchronize OK
rank 1 generation response tokens=21 finish=None
rank 1 step 20 synchronize start
rank 1 step 20 synchronize OK
rank 1 generation response tokens=22 finish=None
rank 1 step 21 synchronize start
rank 1 step 21 synchronize OK
rank 1 generation response tokens=23 finish=None
rank 1 step 22 synchronize start
rank 1 step 22 synchronize OK
rank 1 generation response tokens=24 finish=None
rank 1 step 23 synchronize start
rank 1 step 23 synchronize OK
rank 1 generation response tokens=25 finish=None
rank 1 step 24 synchronize start
rank 1 step 24 synchronize OK
rank 1 generation response tokens=26 finish=None
rank 1 step 25 synchronize start
rank 1 step 25 synchronize OK
rank 1 generation response tokens=27 finish=None
rank 1 step 26 synchronize start
rank 1 step 26 synchronize OK
rank 1 generation response tokens=28 finish=None
rank 1 step 27 synchronize start
rank 1 step 27 synchronize OK
rank 1 generation response tokens=29 finish=None
rank 1 step 28 synchronize start
rank 1 step 28 synchronize OK
rank 1 generation response tokens=30 finish=None
rank 1 step 29 synchronize start
rank 1 step 29 synchronize OK
rank 1 generation response tokens=31 finish=None
rank 1 step 30 synchronize start
rank 1 step 30 synchronize OK
rank 1 generation response tokens=32 finish=None
rank 1 step 31 synchronize start
rank 1 step 31 synchronize OK
rank 1 generation response tokens=33 finish=None
rank 1 step 32 synchronize start
rank 1 step 32 synchronize OK
rank 1 generation response tokens=34 finish=None
rank 1 step 33 synchronize start
rank 1 step 33 synchronize OK
rank 1 generation response tokens=35 finish=None
rank 1 step 34 synchronize start
rank 1 step 34 synchronize OK
rank 1 generation response tokens=36 finish=None
rank 1 step 35 synchronize start
rank 1 step 35 synchronize OK
rank 1 generation response tokens=37 finish=None
rank 1 step 36 synchronize start
rank 1 step 36 synchronize OK
rank 1 generation response tokens=38 finish=None
rank 1 step 37 synchronize start
rank 1 step 37 synchronize OK
rank 1 generation response tokens=39 finish=None
rank 1 step 38 synchronize start
rank 1 step 38 synchronize OK
rank 1 generation response tokens=40 finish=None
rank 1 step 39 synchronize start
rank 1 step 39 synchronize OK
rank 1 generation response tokens=41 finish=None
rank 1 step 40 synchronize start
rank 1 step 40 synchronize OK
rank 1 generation response tokens=42 finish=None
rank 1 step 41 synchronize start
rank 1 step 41 synchronize OK
rank 1 generation response tokens=43 finish=None
rank 1 step 42 synchronize start
rank 1 step 42 synchronize OK
rank 1 generation response tokens=44 finish=None
rank 1 step 43 synchronize start
rank 1 step 43 synchronize OK
rank 1 generation response tokens=45 finish=None
rank 1 step 44 synchronize start
rank 1 step 44 synchronize OK
rank 1 generation response tokens=46 finish=None
rank 1 step 45 synchronize start
rank 1 step 45 synchronize OK
rank 1 generation response tokens=47 finish=None
rank 1 step 46 synchronize start
rank 1 step 46 synchronize OK
rank 1 generation response tokens=48 finish=None
rank 1 step 47 synchronize start
rank 1 step 47 synchronize OK
rank 1 generation response tokens=49 finish=None
rank 1 step 48 synchronize start
rank 1 step 48 synchronize OK
rank 1 generation response tokens=50 finish=None
rank 1 step 49 synchronize start
rank 1 step 49 synchronize OK
rank 1 generation response tokens=51 finish=None
rank 1 step 50 synchronize start
rank 1 step 50 synchronize OK
rank 1 generation response tokens=52 finish=None
rank 1 step 51 synchronize start
rank 1 step 51 synchronize OK
rank 1 generation response tokens=53 finish=None
rank 1 step 52 synchronize start
rank 1 step 52 synchronize OK
rank 1 generation response tokens=54 finish=None
rank 1 step 53 synchronize start
rank 1 step 53 synchronize OK
rank 1 generation response tokens=55 finish=None
rank 1 step 54 synchronize start
rank 1 step 54 synchronize OK
rank 1 generation response tokens=56 finish=None
rank 1 step 55 synchronize start
rank 1 step 55 synchronize OK
rank 1 generation response tokens=57 finish=None
rank 1 step 56 synchronize start
rank 1 step 56 synchronize OK
rank 1 generation response tokens=58 finish=None
rank 1 step 57 synchronize start
rank 1 step 57 synchronize OK
rank 1 generation response tokens=59 finish=None
rank 1 step 58 synchronize start
rank 1 step 58 synchronize OK
rank 1 generation response tokens=60 finish=None
rank 1 step 59 synchronize start
rank 1 step 59 synchronize OK
rank 1 generation response tokens=61 finish=None
rank 1 step 60 synchronize start
rank 1 step 60 synchronize OK
rank 1 generation response tokens=62 finish=None
rank 1 step 61 synchronize start
rank 1 step 61 synchronize OK
rank 1 generation response tokens=63 finish=None
rank 1 step 62 synchronize start
rank 1 step 62 synchronize OK
rank 1 generation response tokens=64 finish=length
rank 1 step 63 synchronize start
rank 1 step 63 synchronize OK
rank 1 synchronize start
rank 1 synchronize OK
rank 1 sleeping 1000 ms after generation
rank 1 generated=64 prompt_tps=103.187 generation_tps=8.904 peak_memory_gb=0.196 finish=length
MLX probe failed (mac0-linux1): mac_rc=255 linux_rc=0
